│      KMD/USDT │      1 │         2.35 │          25.909 │         2.59 │      0:25:00 │    1     0     0   100 │
│      EDU/USDT │     10 │          0.2 │          25.806 │         2.58 │      1:00:00 │    8     0     2  80.0 │
│     PROM/USDT │      1 │         2.53 │          23.628 │         2.36 │      0:15:00 │    1     0     0   100 │
│      ENS/USDT │      3 │         1.19 │          21.734 │         2.17 │      2:37:00 │    1     0     2  33.3 │
│     USTC/USDT │      1 │         2.05 │          20.146 │         2.01 │      0:20:00 │    1     0     0   100 │
│     AKRO/USDT │      1 │          2.0 │          19.354 │         1.94 │      2:50:00 │    1     0     0   100 │
│       OM/USDT │      1 │         2.07 │          19.264 │         1.93 │      1:35:00 │    1     0     0   100 │
│      ELF/USDT │      1 │         1.91 │          18.384 │         1.84 │      0:15:00 │    1     0     0   100 │
│      AXL/USDT │      1 │          1.8 │          18.039 │          1.8 │      2:25:00 │    1     0     0   100 │
│      ERN/USDT │      5 │         0.31 │          16.516 │         1.65 │      2:35:00 │    2     0     3  40.0 │
│       AR/USDT │      3 │         0.18 │          15.320 │         1.53 │      1:33:00 │    2     0     1  66.7 │
│     LINK/USDT │      1 │         0.63 │          11.900 │         1.19 │      3:20:00 │    1     0     0   100 │
│    METIS/USDT │      2 │          0.2 │          11.461 │         1.15 │      2:42:00 │    1     0     1  50.0 │
│        W/USDT │      1 │         1.02 │          10.424 │         1.04 │      2:35:00 │    1     0     0   100 │
│     ARPA/USDT │      4 │         0.43 │          10.303 │         1.03 │      1:42:00 │    3     0     1  75.0 │
│     BONK/USDT │      3 │          0.3 │           7.080 │         0.71 │      1:30:00 │    2     0     1  66.7 │
│      BNX/USDT │      2 │        -1.18 │           5.720 │         0.57 │      2:38:00 │    1     0     1  50.0 │
│      UMA/USDT │      4 │         0.16 │           2.974 │          0.3 │      2:11:00 │    1     0     3  25.0 │
│ 1000SATS/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      ACH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     AEVO/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ALCX/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│   ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    ALPHA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      ALT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ANKR/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
