Result for strategy KamaFama
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃      Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      ALT/USDT │      1 │         1.05 │           0.927 │         0.93 │           0:15:00 │    1     0     0   100 │
│      TIA/USDT │      1 │         0.63 │           0.874 │         0.87 │           0:10:00 │    1     0     0   100 │
│       OM/USDT │      1 │         0.54 │           0.831 │         0.83 │           0:15:00 │    1     0     0   100 │
│    LISTA/USDT │      2 │         0.35 │           0.667 │         0.67 │           1:05:00 │    2     0     0   100 │
│    TFUEL/USDT │      2 │         0.23 │           0.659 │         0.66 │           2:12:00 │    2     0     0   100 │
│     NULS/USDT │      2 │         0.24 │           0.644 │         0.64 │           0:22:00 │    2     0     0   100 │
│     FIDA/USDT │      2 │         0.23 │           0.524 │         0.52 │           5:01:00 │    2     0     0   100 │
│      MAV/USDT │      1 │         0.41 │           0.494 │         0.49 │           1:00:00 │    1     0     0   100 │
│   RENDER/USDT │      1 │         0.49 │           0.481 │         0.48 │           2:35:00 │    1     0     0   100 │
│      WLD/USDT │      1 │         0.36 │           0.480 │         0.48 │           0:30:00 │    1     0     0   100 │
│    SUPER/USDT │      1 │         0.34 │           0.459 │         0.46 │           0:20:00 │    1     0     0   100 │
│      FTT/USDT │      1 │         0.37 │           0.444 │         0.44 │           2:41:00 │    1     0     0   100 │
│    AUDIO/USDT │      1 │          0.4 │           0.439 │         0.44 │           0:25:00 │    1     0     0   100 │
│      STX/USDT │      1 │         0.32 │           0.387 │         0.39 │           1:15:00 │    1     0     0   100 │
│      CRV/USDT │      1 │         0.29 │           0.310 │         0.31 │           3:58:00 │    1     0     0   100 │
│      ACA/USDT │      1 │         0.19 │           0.295 │         0.29 │           1:22:00 │    1     0     0   100 │
│      RSR/USDT │      1 │         0.31 │           0.247 │         0.25 │           3:15:00 │    1     0     0   100 │
│      JTO/USDT │      2 │         0.09 │           0.222 │         0.22 │           2:52:00 │    2     0     0   100 │
│      GMX/USDT │      1 │         0.15 │           0.198 │          0.2 │           0:30:00 │    1     0     0   100 │
│      UFT/USDT │      1 │          0.1 │           0.189 │         0.19 │  8 days, 10:03:00 │    1     0     0   100 │
│      SSV/USDT │      1 │         0.15 │           0.185 │         0.19 │           0:32:00 │    1     0     0   100 │
│      BAR/USDT │      2 │         0.03 │           0.089 │         0.09 │          14:04:00 │    2     0     0   100 │
│   PORTAL/USDT │      1 │         0.06 │           0.056 │         0.06 │           0:02:00 │    1     0     0   100 │
│    CHESS/USDT │      1 │         0.02 │           0.027 │         0.03 │          21:38:00 │    1     0     0   100 │
│      ATA/USDT │      1 │          0.0 │           0.004 │          0.0 │          10:50:00 │    1     0     0   100 │
│     EURI/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│      SLF/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     DOGS/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│        G/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│    1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     ALCX/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│   ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     ANKR/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     API3/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│      ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     ARDR/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
│     ARKM/USDT │      0 │          0.0 │           0.000 │          0.0 │              0:00 │    0     0     0     0 │
