Result for strategy KamaFama
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│   PENDLE/USDT │      1 │         1.51 │           3.064 │         3.06 │          0:15:00 │    1     0     0   100 │
│     ALCX/USDT │      2 │         1.37 │           3.039 │         3.04 │          1:24:00 │    2     0     0   100 │
│      SYN/USDT │      2 │         0.77 │           3.013 │         3.01 │          0:20:00 │    2     0     0   100 │
│      SEI/USDT │      1 │          2.4 │           2.996 │          3.0 │          0:10:00 │    1     0     0   100 │
│     WING/USDT │      1 │         1.33 │           2.732 │         2.73 │          0:50:00 │    1     0     0   100 │
│      TKO/USDT │      2 │         0.31 │           2.731 │         2.73 │          0:38:00 │    2     0     0   100 │
│     SHIB/USDT │      1 │         0.56 │           2.467 │         2.47 │          0:15:00 │    1     0     0   100 │
│      UNI/USDT │      1 │          0.5 │           2.324 │         2.32 │          0:05:00 │    1     0     0   100 │
│      TIA/USDT │      1 │         1.87 │           2.265 │         2.26 │          0:15:00 │    1     0     0   100 │
│      WLD/USDT │      1 │         0.51 │           2.159 │         2.16 │          0:56:00 │    1     0     0   100 │
│      ACA/USDT │      1 │         0.64 │           1.907 │         1.91 │          1:01:00 │    1     0     0   100 │
│       OP/USDT │      1 │         0.87 │           1.880 │         1.88 │          0:05:00 │    1     0     0   100 │
│     RARE/USDT │      1 │         0.56 │           1.831 │         1.83 │          0:56:00 │    1     0     0   100 │
│      PSG/USDT │      1 │         0.38 │           1.794 │         1.79 │          0:50:00 │    1     0     0   100 │
│     MASK/USDT │      1 │          1.0 │           1.654 │         1.65 │          0:20:00 │    1     0     0   100 │
│      SUN/USDT │      1 │         0.38 │           1.444 │         1.44 │          0:15:00 │    1     0     0   100 │
│    FORTH/USDT │      1 │         0.29 │           1.389 │         1.39 │          1:35:00 │    1     0     0   100 │
│     DEGO/USDT │      1 │         1.22 │           1.317 │         1.32 │          1:00:00 │    1     0     0   100 │
│      ALT/USDT │      2 │         0.23 │           1.287 │         1.29 │          1:14:00 │    2     0     0   100 │
│   BURGER/USDT │      1 │         0.25 │           1.245 │         1.24 │          3:59:00 │    1     0     0   100 │
│      AMP/USDT │      1 │         0.27 │           1.206 │         1.21 │          0:35:00 │    1     0     0   100 │
│      SKL/USDT │      2 │         0.42 │           1.036 │         1.04 │          1:01:00 │    2     0     0   100 │
│      TRU/USDT │      1 │         0.19 │           0.965 │         0.96 │          1:10:00 │    1     0     0   100 │
│      FET/USDT │      1 │         0.21 │           0.953 │         0.95 │          1:31:00 │    1     0     0   100 │
│      UFT/USDT │      2 │         0.16 │           0.788 │         0.79 │          5:42:00 │    2     0     0   100 │
│     API3/USDT │      1 │         0.16 │           0.770 │         0.77 │         22:00:00 │    1     0     0   100 │
│      DYM/USDT │      1 │         0.24 │           0.748 │         0.75 │          2:16:00 │    1     0     0   100 │
│     BETA/USDT │      1 │         0.17 │           0.665 │         0.67 │          0:45:00 │    1     0     0   100 │
│     ANKR/USDT │      2 │         0.07 │           0.631 │         0.63 │          3:24:00 │    2     0     0   100 │
│    CYBER/USDT │      1 │         0.41 │           0.605 │         0.61 │          0:10:00 │    1     0     0   100 │
│    1INCH/USDT │      1 │         0.35 │           0.582 │         0.58 │          0:25:00 │    1     0     0   100 │
│      JOE/USDT │      2 │         0.07 │           0.579 │         0.58 │          9:51:00 │    2     0     0   100 │
│      ERN/USDT │      1 │         0.13 │           0.557 │         0.56 │          0:25:00 │    1     0     0   100 │
│     IOTX/USDT │      1 │         0.11 │           0.433 │         0.43 │          2:52:00 │    1     0     0   100 │
│      SUI/USDT │      1 │         0.32 │           0.410 │         0.41 │          3:55:00 │    1     0     0   100 │
│     BOME/USDT │      1 │         0.05 │           0.257 │         0.26 │          0:50:00 │    1     0     0   100 │
│      PHA/USDT │      1 │         0.05 │           0.217 │         0.22 │          0:01:00 │    1     0     0   100 │
│      GTC/USDT │      1 │         0.06 │           0.193 │         0.19 │          0:55:00 │    1     0     0   100 │
│      RAD/USDT │      2 │         0.02 │           0.112 │         0.11 │          0:34:00 │    2     0     0   100 │
│     OSMO/USDT │      1 │         0.03 │           0.053 │         0.05 │          2:07:00 │    1     0     0   100 │
│      UMA/USDT │      1 │         0.01 │           0.035 │         0.04 │          0:43:00 │    1     0     0   100 │
│      ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     AEVO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALPHA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ARDR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ARK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ARPA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       AR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ASR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ATA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ATOM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    AUDIO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AVA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AXL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AXS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   BADGER/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      BCH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BICO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BIFI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      BNX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CAKE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CELO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CELR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CFX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    CHESS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CHR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CITY/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CLV/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    CREAM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CRV/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CTK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CTSI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CTXC/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
