Result for strategy KamaFama_2
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃      Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      PHA/USDT │      1 │         0.96 │           0.424 │         0.42 │           0:55:00 │    1     0     0   100 │
│     NULS/USDT │      1 │         0.74 │           0.424 │         0.42 │           0:25:00 │    1     0     0   100 │
│    LEVER/USDT │      1 │         0.82 │           0.415 │         0.41 │           0:25:00 │    1     0     0   100 │
│      TRU/USDT │      2 │         0.41 │           0.410 │         0.41 │           1:18:00 │    2     0     0   100 │
│      FTT/USDT │      2 │         0.47 │           0.398 │          0.4 │           2:06:00 │    2     0     0   100 │
│   RENDER/USDT │      2 │         0.44 │           0.392 │         0.39 │           8:58:00 │    2     0     0   100 │
│      WIF/USDT │      1 │         0.89 │           0.384 │         0.38 │           0:25:00 │    1     0     0   100 │
│      UMA/USDT │      1 │         0.61 │           0.371 │         0.37 │           0:05:00 │    1     0     0   100 │
│   ALPACA/USDT │      2 │         0.26 │           0.321 │         0.32 │           0:58:00 │    2     0     0   100 │
│      REZ/USDT │      2 │         0.32 │           0.299 │          0.3 │    1 day, 5:46:00 │    2     0     0   100 │
│    JASMY/USDT │      1 │         0.56 │           0.293 │         0.29 │           0:35:00 │    1     0     0   100 │
│     BAKE/USDT │      2 │         0.29 │           0.274 │         0.27 │           0:35:00 │    2     0     0   100 │
│     LINA/USDT │      1 │         0.44 │           0.239 │         0.24 │          23:50:00 │    1     0     0   100 │
│      RAD/USDT │      1 │          0.5 │           0.215 │         0.21 │           5:02:00 │    1     0     0   100 │
│      SLP/USDT │      1 │          0.4 │           0.210 │         0.21 │           0:10:00 │    1     0     0   100 │
│    AUDIO/USDT │      1 │          0.4 │           0.176 │         0.18 │           0:25:00 │    1     0     0   100 │
│      XAI/USDT │      1 │         0.44 │           0.173 │         0.17 │           0:20:00 │    1     0     0   100 │
│      UFT/USDT │      1 │         0.31 │           0.167 │         0.17 │           5:06:00 │    1     0     0   100 │
│     NTRN/USDT │      2 │         0.18 │           0.161 │         0.16 │           0:32:00 │    2     0     0   100 │
│      CKB/USDT │      1 │         0.23 │           0.144 │         0.14 │           0:40:00 │    1     0     0   100 │
│      REI/USDT │      1 │         0.32 │           0.142 │         0.14 │           0:20:00 │    1     0     0   100 │
│     MBOX/USDT │      1 │         0.24 │           0.141 │         0.14 │           0:05:00 │    1     0     0   100 │
│      CRV/USDT │      1 │         0.29 │           0.140 │         0.14 │           3:58:00 │    1     0     0   100 │
