Result for strategy KamaFama_2
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      BAR/USDT │      1 │         1.08 │           1.346 │         1.35 │          0:15:00 │    1     0     0   100 │
│      ACE/USDT │      2 │         1.18 │           1.346 │         1.35 │          0:18:00 │    2     0     0   100 │
│     PYTH/USDT │      1 │         0.69 │           1.128 │         1.13 │          0:20:00 │    1     0     0   100 │
│      TIA/USDT │      1 │         1.87 │           1.045 │         1.05 │          0:15:00 │    1     0     0   100 │
│     ORDI/USDT │      1 │         0.56 │           0.984 │         0.98 │          0:40:00 │    1     0     0   100 │
│     CTSI/USDT │      2 │          0.3 │           0.894 │         0.89 │          4:42:00 │    2     0     0   100 │
│      UNI/USDT │      1 │          0.5 │           0.890 │         0.89 │          0:05:00 │    1     0     0   100 │
│      CFX/USDT │      2 │         0.43 │           0.887 │         0.89 │          0:08:00 │    2     0     0   100 │
│      ACA/USDT │      1 │         0.64 │           0.836 │         0.84 │          1:01:00 │    1     0     0   100 │
│     RARE/USDT │      1 │         0.56 │           0.785 │         0.79 │          0:56:00 │    1     0     0   100 │
│     DUSK/USDT │      3 │         0.32 │           0.781 │         0.78 │          1:05:00 │    3     0     0   100 │
│       OP/USDT │      1 │         0.87 │           0.780 │         0.78 │          0:05:00 │    1     0     0   100 │
│      ICP/USDT │      1 │         1.47 │           0.773 │         0.77 │          0:05:00 │    1     0     0   100 │
│      RAD/USDT │      4 │         0.18 │           0.772 │         0.77 │          0:32:00 │    4     0     0   100 │
│      ILV/USDT │      1 │         0.44 │           0.718 │         0.72 │          0:55:00 │    1     0     0   100 │
│ 1000SATS/USDT │      2 │         0.57 │           0.672 │         0.67 │          0:15:00 │    2     0     0   100 │
│     STPT/USDT │      1 │          0.9 │           0.650 │         0.65 │          0:10:00 │    1     0     0   100 │
│     DEGO/USDT │      1 │         1.22 │           0.634 │         0.63 │          1:00:00 │    1     0     0   100 │
│      MBL/USDT │      1 │         0.34 │           0.579 │         0.58 │          0:15:00 │    1     0     0   100 │
│      ALT/USDT │      2 │         0.23 │           0.574 │         0.57 │          1:14:00 │    2     0     0   100 │
│      SUN/USDT │      1 │         0.38 │           0.571 │         0.57 │          0:15:00 │    1     0     0   100 │
│     MOVR/USDT │      1 │         0.54 │           0.405 │         0.41 │          0:10:00 │    1     0     0   100 │
│      ARK/USDT │      1 │         0.32 │           0.394 │         0.39 │          1:10:00 │    1     0     0   100 │
│      BCH/USDT │      1 │         0.41 │           0.356 │         0.36 │          0:25:00 │    1     0     0   100 │
│      DYM/USDT │      1 │         0.24 │           0.324 │         0.32 │          2:16:00 │    1     0     0   100 │
│    1INCH/USDT │      1 │         0.35 │           0.267 │         0.27 │          0:25:00 │    1     0     0   100 │
│      UFT/USDT │      1 │         0.28 │           0.258 │         0.26 │          7:50:00 │    1     0     0   100 │
│      SUI/USDT │      1 │         0.32 │           0.186 │         0.19 │          3:55:00 │    1     0     0   100 │
│      GRT/USDT │      1 │          0.2 │           0.181 │         0.18 │          0:15:00 │    1     0     0   100 │
│     IOTX/USDT │      1 │         0.11 │           0.168 │         0.17 │          2:52:00 │    1     0     0   100 │
│    THETA/USDT │      1 │          0.1 │           0.160 │         0.16 │          0:05:00 │    1     0     0   100 │
│     MEME/USDT │      1 │         0.09 │           0.159 │         0.16 │          1:05:00 │    1     0     0   100 │
│      FIS/USDT │      1 │         0.14 │           0.158 │         0.16 │          0:31:00 │    1     0     0   100 │
│      MAV/USDT │      1 │         0.24 │           0.145 │         0.14 │          0:54:00 │    1     0     0   100 │
│      RAY/USDT │      1 │         0.24 │           0.138 │         0.14 │          0:51:00 │    1     0     0   100 │
│       AR/USDT │      1 │         0.06 │           0.092 │         0.09 │          2:05:00 │    1     0     0   100 │
│      GTC/USDT │      1 │         0.06 │           0.084 │         0.08 │          0:55:00 │    1     0     0   100 │
│    CREAM/USDT │      1 │         0.06 │           0.072 │         0.07 │          0:20:00 │    1     0     0   100 │
│      ARB/USDT │      1 │         0.07 │           0.050 │         0.05 │          3:20:00 │    1     0     0   100 │
│     PIVX/USDT │      1 │         0.04 │           0.029 │         0.03 │  3 days, 6:35:00 │    1     0     0   100 │
│     OSMO/USDT │      1 │         0.03 │           0.022 │         0.02 │          4:50:00 │    1     0     0   100 │
│      JOE/USDT │      1 │         0.02 │           0.019 │         0.02 │          0:25:00 │    1     0     0   100 │
│      ACH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALPHA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ANKR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
