Result for strategy KamaFama_2
                                                  BACKTESTING REPORT
┏━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃          Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│      TKO/USDT │      1 │         1.93 │           1.266 │         1.27 │          1:00:00 │    1     0     0   100 │
│    SUPER/USDT │      2 │         0.75 │           1.252 │         1.25 │          0:15:00 │    2     0     0   100 │
│      NOT/USDT │      1 │         1.14 │           1.212 │         1.21 │          0:35:00 │    1     0     0   100 │
│    ETHFI/USDT │      1 │         1.86 │           1.129 │         1.13 │          0:10:00 │    1     0     0   100 │
│     STRK/USDT │      1 │         1.97 │           1.123 │         1.12 │          0:20:00 │    1     0     0   100 │
│     ALGO/USDT │      1 │         1.12 │           1.030 │         1.03 │          0:10:00 │    1     0     0   100 │
│     BICO/USDT │      1 │         1.22 │           0.992 │         0.99 │          0:20:00 │    1     0     0   100 │
│      RSR/USDT │      4 │         0.44 │           0.959 │         0.96 │          1:28:00 │    4     0     0   100 │
│   BURGER/USDT │      2 │         0.72 │           0.950 │         0.95 │          2:10:00 │    2     0     0   100 │
│      FIS/USDT │      2 │         0.71 │           0.918 │         0.92 │          0:12:00 │    2     0     0   100 │
│    TFUEL/USDT │      3 │         0.36 │           0.877 │         0.88 │          1:35:00 │    3     0     0   100 │
│       AR/USDT │      2 │         0.56 │           0.869 │         0.87 │          1:02:00 │    2     0     0   100 │
│      LPT/USDT │      4 │         0.31 │           0.861 │         0.86 │  1 day, 10:02:00 │    4     0     0   100 │
│     DEGO/USDT │      1 │         1.21 │           0.806 │         0.81 │          0:25:00 │    1     0     0   100 │
│       OG/USDT │      1 │         1.11 │           0.786 │         0.79 │          0:20:00 │    1     0     0   100 │
│     MBOX/USDT │      1 │         1.41 │           0.778 │         0.78 │          1:30:00 │    1     0     0   100 │
│      REZ/USDT │      1 │         0.75 │           0.777 │         0.78 │          6:35:00 │    1     0     0   100 │
│      ICP/USDT │      1 │         1.23 │           0.745 │         0.75 │          0:40:00 │    1     0     0   100 │
│     RARE/USDT │      3 │         0.27 │           0.710 │         0.71 │          1:15:00 │    3     0     0   100 │
│    AUDIO/USDT │      1 │         1.29 │           0.678 │         0.68 │          0:10:00 │    1     0     0   100 │
│      FTM/USDT │      1 │         1.27 │           0.675 │         0.68 │          0:35:00 │    1     0     0   100 │
│      CFX/USDT │      1 │          0.9 │           0.671 │         0.67 │          0:45:00 │    1     0     0   100 │
│      PSG/USDT │      2 │         0.48 │           0.640 │         0.64 │          0:42:00 │    2     0     0   100 │
│     MOVR/USDT │      1 │         0.65 │           0.592 │         0.59 │          1:14:00 │    1     0     0   100 │
│   ALPACA/USDT │      2 │         0.44 │           0.584 │         0.58 │          0:25:00 │    2     0     0   100 │
│      JTO/USDT │      3 │         0.21 │           0.542 │         0.54 │          4:16:00 │    3     0     0   100 │
│      TIA/USDT │      1 │         0.63 │           0.528 │         0.53 │          0:10:00 │    1     0     0   100 │
│   SANTOS/USDT │      1 │         0.58 │           0.521 │         0.52 │          8:57:00 │    1     0     0   100 │
│     LUNC/USDT │      1 │         1.09 │           0.517 │         0.52 │          0:45:00 │    1     0     0   100 │
│    BEAMX/USDT │      1 │         0.56 │           0.512 │         0.51 │          0:20:00 │    1     0     0   100 │
│     HIFI/USDT │      1 │         0.87 │           0.510 │         0.51 │          0:45:00 │    1     0     0   100 │
│    CYBER/USDT │      1 │         1.02 │           0.509 │         0.51 │          0:20:00 │    1     0     0   100 │
│      ENS/USDT │      2 │          0.4 │           0.502 │          0.5 │          0:43:00 │    2     0     0   100 │
│      FET/USDT │      2 │          0.4 │           0.501 │          0.5 │          0:56:00 │    2     0     0   100 │
│        W/USDT │      2 │          0.3 │           0.480 │         0.48 │          0:24:00 │    2     0     0   100 │
│    PORTO/USDT │      1 │         0.88 │           0.451 │         0.45 │          0:20:00 │    1     0     0   100 │
│      FUN/USDT │      2 │         0.38 │           0.428 │         0.43 │          0:27:00 │    2     0     0   100 │
│      AST/USDT │      3 │         0.24 │           0.378 │         0.38 │          0:28:00 │    3     0     0   100 │
│     SHIB/USDT │      1 │         0.73 │           0.361 │         0.36 │          0:20:00 │    1     0     0   100 │
│      YGG/USDT │      1 │         0.61 │           0.359 │         0.36 │         11:17:00 │    1     0     0   100 │
│     FIDA/USDT │      2 │         0.23 │           0.358 │         0.36 │          5:01:00 │    2     0     0   100 │
│     PROM/USDT │      1 │         0.63 │           0.351 │         0.35 │          0:15:00 │    1     0     0   100 │
│    QUICK/USDT │      1 │         0.66 │           0.344 │         0.34 │          1:27:00 │    1     0     0   100 │
│      WLD/USDT │      1 │         0.36 │           0.340 │         0.34 │          0:30:00 │    1     0     0   100 │
│      SSV/USDT │      3 │         0.16 │           0.337 │         0.34 │          1:23:00 │    3     0     0   100 │
│      PHA/USDT │      2 │         0.22 │           0.324 │         0.32 │          0:18:00 │    2     0     0   100 │
│     DOGE/USDT │      1 │         0.54 │           0.311 │         0.31 │          0:05:00 │    1     0     0   100 │
│      FTT/USDT │      2 │          0.2 │           0.266 │         0.27 │          1:00:00 │    2     0     0   100 │
│    SPELL/USDT │      1 │         0.53 │           0.265 │         0.26 │          6:57:00 │    1     0     0   100 │
│      TAO/USDT │      1 │          0.3 │           0.255 │         0.26 │          5:11:00 │    1     0     0   100 │
│      STX/USDT │      1 │         0.32 │           0.245 │         0.25 │          1:15:00 │    1     0     0   100 │
│      WAN/USDT │      2 │         0.18 │           0.240 │         0.24 │          0:50:00 │    2     0     0   100 │
│     API3/USDT │      2 │         0.16 │           0.240 │         0.24 │         11:18:00 │    2     0     0   100 │
│      JOE/USDT │      3 │         0.12 │           0.226 │         0.23 │          7:02:00 │    3     0     0   100 │
│      MAV/USDT │      1 │         0.27 │           0.219 │         0.22 │          1:05:00 │    1     0     0   100 │
│     ARKM/USDT │      1 │          0.4 │           0.181 │         0.18 │          0:35:00 │    1     0     0   100 │
│      GMX/USDT │      1 │         0.15 │           0.141 │         0.14 │          0:30:00 │    1     0     0   100 │
│    FORTH/USDT │      2 │         0.12 │           0.132 │         0.13 │          0:40:00 │    2     0     0   100 │
│    STEEM/USDT │      1 │          0.1 │           0.092 │         0.09 │          9:23:00 │    1     0     0   100 │
│     ANKR/USDT │      2 │         0.07 │           0.080 │         0.08 │          4:36:00 │    2     0     0   100 │
│      GMT/USDT │      1 │         0.12 │           0.077 │         0.08 │          0:35:00 │    1     0     0   100 │
│      BCH/USDT │      1 │         0.13 │           0.076 │         0.08 │          1:05:00 │    1     0     0   100 │
│     MINA/USDT │      1 │         0.08 │           0.075 │         0.07 │          3:32:00 │    1     0     0   100 │
│     CELO/USDT │      1 │         0.07 │           0.059 │         0.06 │          0:01:00 │    1     0     0   100 │
│   BADGER/USDT │      1 │         0.09 │           0.050 │         0.05 │          2:00:00 │    1     0     0   100 │
│     WAXP/USDT │      1 │         0.06 │           0.029 │         0.03 │          6:05:00 │    1     0     0   100 │
│      DIA/USDT │      1 │         0.05 │           0.026 │         0.03 │          1:25:00 │    1     0     0   100 │
│    CHESS/USDT │      1 │         0.02 │           0.019 │         0.02 │         22:00:00 │    1     0     0   100 │
│    1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ALCX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   ALPINE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      APT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ARDR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ARK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ATOM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AVA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AXL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      AXS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BAKE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BIFI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BLUR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CAKE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CELR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CHR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     COTI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      CRV/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     CTSI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      DAR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     DATA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     DODO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      DYM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ELF/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ETC/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      FIO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     GLMR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      GNO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      GNS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      GRT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      GTC/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     HARD/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     HIVE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     HOOK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      HOT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ICX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ILV/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      INJ/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     IOTA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     IOTX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      JUV/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     KAVA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    LAZIO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      LDO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     LINA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     LINK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     LOKA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    MAGIC/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     MANA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     MASK/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      MBL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    METIS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      NFP/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     NTRN/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ONE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       OP/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     ORDI/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     OSMO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     PIVX/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│    PIXEL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   PORTAL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     PROS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      PYR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     PYTH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      RAD/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
