│      SEI/USDT │      4 │        -0.45 │          76.804 │         7.68 │      2:35:00 │    2     0     2  50.0 │
│      ARB/USDT │      1 │         2.02 │          63.505 │         6.35 │      2:40:00 │    1     0     0   100 │
│      VIC/USDT │      1 │         4.35 │          57.918 │         5.79 │      0:45:00 │    1     0     0   100 │
│      SUI/USDT │      2 │         0.78 │          52.647 │         5.26 │      2:38:00 │    1     0     1  50.0 │
│      JOE/USDT │      1 │         2.18 │          49.023 │          4.9 │      0:10:00 │    1     0     0   100 │
│     OSMO/USDT │      2 │         2.18 │          48.675 │         4.87 │      0:05:00 │    2     0     0   100 │
│      ACE/USDT │      2 │         1.28 │          45.965 │          4.6 │      1:48:00 │    2     0     0   100 │
│     PIVX/USDT │      1 │         2.47 │          43.505 │         4.35 │      1:05:00 │    1     0     0   100 │
│     WING/USDT │      3 │         1.33 │          36.134 │         3.61 │      0:52:00 │    3     0     0   100 │
│     HARD/USDT │      1 │          1.7 │          33.860 │         3.39 │      0:00:00 │    1     0     0   100 │
│      TRB/USDT │      3 │         1.06 │          31.897 │         3.19 │      1:03:00 │    2     0     1  66.7 │
│    1INCH/USDT │      3 │         1.13 │          31.012 │          3.1 │      1:58:00 │    2     0     1  66.7 │
│    CYBER/USDT │      3 │         0.63 │          28.935 │         2.89 │      1:52:00 │    2     0     1  66.7 │
│      AMP/USDT │      8 │         0.62 │          24.903 │         2.49 │      1:16:00 │    6     0     2  75.0 │
│      GTC/USDT │      3 │         0.21 │          24.507 │         2.45 │      1:23:00 │    2     0     1  66.7 │
│     MEME/USDT │      1 │         2.57 │          23.275 │         2.33 │      0:50:00 │    1     0     0   100 │
│       OG/USDT │      2 │         0.99 │          21.845 │         2.18 │      2:10:00 │    1     0     1  50.0 │
│      INJ/USDT │      1 │         1.71 │          18.641 │         1.86 │      0:20:00 │    1     0     0   100 │
│     STPT/USDT │      1 │         1.95 │          18.099 │         1.81 │      0:05:00 │    1     0     0   100 │
│      BAR/USDT │      4 │        -0.39 │          17.383 │         1.74 │      1:42:00 │    2     0     2  50.0 │
│    SUPER/USDT │      2 │        -0.91 │          15.608 │         1.56 │      3:00:00 │    1     0     1  50.0 │
│     MASK/USDT │      1 │         0.69 │          11.609 │         1.16 │      2:10:00 │    1     0     0   100 │
│      MBL/USDT │      2 │        -0.36 │           9.843 │         0.98 │      2:28:00 │    1     0     1  50.0 │
