Result for strategy KamaFama
                                                   BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃     Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│        VIB/USDT │      1 │          1.4 │           1.067 │         1.07 │          3:45:00 │    1     0     0   100 │
│        ASR/USDT │      1 │         2.58 │           1.063 │         1.06 │          6:15:00 │    1     0     0   100 │
│     PEOPLE/USDT │      2 │         0.98 │           0.923 │         0.92 │         20:38:00 │    1     0     1  50.0 │
│        DYM/USDT │      1 │         0.81 │           0.876 │         0.88 │          6:35:00 │    1     0     0   100 │
│        ELF/USDT │      1 │         0.61 │           0.678 │         0.68 │          4:30:00 │    1     0     0   100 │
│       HOOK/USDT │      1 │         0.57 │           0.615 │         0.62 │          5:05:00 │    1     0     0   100 │
│     ALPACA/USDT │      2 │         0.39 │           0.540 │         0.54 │          4:48:00 │    1     0     1  50.0 │
│        AMP/USDT │      2 │         1.05 │           0.478 │         0.48 │          5:45:00 │    1     0     1  50.0 │
│         IQ/USDT │      1 │         0.27 │           0.187 │         0.19 │          3:40:00 │    1     0     0   100 │
│      CREAM/USDT │      2 │         0.25 │           0.175 │         0.18 │          3:40:00 │    1     0     1  50.0 │
│      PIXEL/USDT │      1 │         0.25 │           0.150 │         0.15 │          3:40:00 │    1     0     0   100 │
│        POL/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       DOGS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│          G/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     RENDER/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│     BANANA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│   1000SATS/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        ACE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        ACH/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        ACM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       AEVO/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│      ALPHA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       ANKR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        APT/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        ARB/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│       ARKM/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│         AR/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
│        ATA/USDT │      0 │          0.0 │           0.000 │          0.0 │             0:00 │    0     0     0     0 │
