│ AUCTION/USDT │      1 │         2.08 │           3.343 │         3.34 │      2:40:00 │    1     0     0   100 │
│    ROSE/USDT │      1 │         1.97 │           3.333 │         3.33 │      2:55:00 │    1     0     0   100 │
│    ARPA/USDT │      1 │         2.01 │           3.332 │         3.33 │      1:15:00 │    1     0     0   100 │
│    LUNC/USDT │      1 │         3.14 │           3.300 │          3.3 │      1:35:00 │    1     0     0   100 │
│     RPL/USDT │      1 │          1.7 │           3.239 │         3.24 │      0:00:00 │    1     0     0   100 │
│     RVN/USDT │      1 │          2.0 │           3.188 │         3.19 │      0:15:00 │    1     0     0   100 │
│     CRV/USDT │      1 │         2.03 │           3.149 │         3.15 │      0:15:00 │    1     0     0   100 │
│     PHA/USDT │      1 │         2.15 │           2.858 │         2.86 │      0:05:00 │    1     0     0   100 │
│     CLV/USDT │      1 │         1.44 │           2.564 │         2.56 │      0:20:00 │    1     0     0   100 │
│    HIVE/USDT │      1 │         2.19 │           2.426 │         2.43 │      1:55:00 │    1     0     0   100 │
│     ELF/USDT │      3 │         0.64 │           2.148 │         2.15 │      2:18:00 │    2     0     1  66.7 │
│    MASK/USDT │      1 │         1.99 │           2.082 │         2.08 │      1:45:00 │    1     0     0   100 │
│     INJ/USDT │      2 │          0.9 │           1.764 │         1.76 │      1:48:00 │    2     0     0   100 │
│    HIGH/USDT │      5 │        -0.11 │           1.598 │          1.6 │      2:12:00 │    3     0     2  60.0 │
│    POWR/USDT │      1 │         1.03 │           1.303 │          1.3 │      1:50:00 │    1     0     0   100 │
│    IOTX/USDT │      1 │         0.67 │           1.038 │         1.04 │      3:20:00 │    1     0     0   100 │
│     ZRX/USDT │      1 │         0.93 │           1.009 │         1.01 │      3:20:00 │    1     0     0   100 │
│    DODO/USDT │      4 │         -0.3 │           0.761 │         0.76 │      1:44:00 │    2     0     2  50.0 │
│     LPT/USDT │      1 │         0.19 │           0.314 │         0.31 │      3:20:00 │    1     0     0   100 │
│   1INCH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    AAVE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ACA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ADA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ADX/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    ALCX/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    ALGO/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│   ALICE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│  ALPACA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     APE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    API3/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     APT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     ATA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    ATOM/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     AVA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    AVAX/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     AXS/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│  BADGER/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BAL/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BAT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BCH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    BETA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    BIFI/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BNT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BSW/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     BTC/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    BTTC/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    CAKE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    CELO/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     CHR/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    COMP/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    COTI/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     CTK/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    CTSI/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     CVX/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     DAR/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    DASH/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     DGB/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     DIA/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    DOGE/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│     DOT/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
│    EGLD/USDT │      0 │          0.0 │           0.000 │          0.0 │         0:00 │    0     0     0     0 │
