freqtrade backtesting -c user_data/configs/webserver_config.json -s NASOSv5_mod4_E0V1E --timerange=20240101- --enable-protections
Result for strategy NASOSv5_mod4_E0V1E
                                                 BACKTESTING REPORT
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━┓
┃            Pair ┃ Trades ┃ Avg Profit % ┃ Tot Profit USDT ┃ Tot Profit % ┃ Avg Duration ┃  Win  Draw  Loss  Win% ┃
┡━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━┩
│       BOME/USDT │     30 │        -0.08 │         248.211 │       248.21 │      1:25:00 │   21     0     9  70.0 │
│       HIFI/USDT │      9 │         1.23 │         245.910 │       245.91 │      4:28:00 │    5     0     4  55.6 │
│        AXL/USDT │      4 │        -0.44 │         239.634 │       239.63 │      4:24:00 │    2     0     2  50.0 │
│       KAVA/USDT │      2 │         3.92 │         231.734 │       231.73 │      1:18:00 │    2     0     0   100 │
│       LINA/USDT │      5 │        -1.48 │         228.850 │       228.85 │      4:01:00 │    2     0     3  40.0 │
│        ENA/USDT │     17 │         1.64 │         210.590 │       210.59 │      1:37:00 │   14     0     3  82.4 │
│       DOGE/USDT │     10 │        -0.13 │         209.109 │       209.11 │      3:30:00 │    5     0     5  50.0 │
│       RARE/USDT │     40 │         2.12 │         203.790 │       203.79 │      1:45:00 │   34     0     6  85.0 │
│       DOGS/USDT │      2 │         4.68 │         195.267 │       195.27 │      1:20:00 │    2     0     0   100 │
│        PHA/USDT │     21 │         1.55 │         190.545 │       190.54 │      2:31:00 │   16     0     5  76.2 │
│       HIVE/USDT │      8 │         0.15 │         181.847 │       181.85 │      4:37:00 │    5     0     3  62.5 │
│       IDEX/USDT │     14 │         0.73 │         175.563 │       175.56 │      2:07:00 │    9     0     5  64.3 │
│       DUSK/USDT │     17 │         1.34 │         175.268 │       175.27 │      3:08:00 │   12     0     5  70.6 │
│         IO/USDT │     12 │         0.48 │         174.078 │       174.08 │      1:51:00 │    9     0     3  75.0 │
│        RSR/USDT │     15 │         1.59 │         154.974 │       154.97 │      1:46:00 │   12     0     3  80.0 │
│        HOT/USDT │      4 │         3.55 │         142.028 │       142.03 │      1:55:00 │    4     0     0   100 │
│       STPT/USDT │      6 │         0.42 │         138.542 │       138.54 │      3:19:00 │    3     0     3  50.0 │
│       DEGO/USDT │     13 │         2.41 │         136.885 │       136.88 │      2:29:00 │   10     0     3  76.9 │
│       AKRO/USDT │     32 │         0.69 │         135.672 │       135.67 │      2:27:00 │   21     0    11  65.6 │
│        ILV/USDT │      4 │          0.3 │         126.014 │       126.01 │      4:44:00 │    2     0     2  50.0 │
│         BB/USDT │     14 │         1.55 │         123.119 │       123.12 │      2:34:00 │   10     0     4  71.4 │
│        TAO/USDT │      3 │         1.71 │         118.800 │        118.8 │      4:35:00 │    2     0     1  66.7 │
│       ARKM/USDT │     19 │         0.38 │         111.651 │       111.65 │      3:36:00 │   13     0     6  68.4 │
│       TNSR/USDT │     11 │        -1.31 │         108.291 │       108.29 │      3:52:00 │    5     0     6  45.5 │
│        BNX/USDT │     21 │         0.86 │         108.134 │       108.13 │      2:35:00 │   15     0     6  71.4 │
│       STMX/USDT │      4 │         2.89 │         103.050 │       103.05 │      0:32:00 │    4     0     0   100 │
│        CRV/USDT │      3 │         4.69 │         101.503 │        101.5 │      0:53:00 │    3     0     0   100 │
│        ALT/USDT │      4 │         1.81 │          99.746 │        99.75 │      3:05:00 │    3     0     1  75.0 │
│        ZRO/USDT │      6 │         1.87 │          97.802 │         97.8 │      3:13:00 │    5     0     1  83.3 │
│      TFUEL/USDT │     13 │         2.98 │          96.038 │        96.04 │      1:17:00 │   12     0     1  92.3 │
│       DEXE/USDT │     18 │         2.36 │          94.633 │        94.63 │      2:00:00 │   15     0     3  83.3 │
│        REN/USDT │      5 │         0.42 │          92.397 │         92.4 │      3:13:00 │    3     0     2  60.0 │
│        INJ/USDT │      3 │        -2.27 │          84.660 │        84.66 │      6:00:00 │    1     0     2  33.3 │
